"Year","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species","Relative_distance","Relative_height","Area","Perimeter","Volume","Entrances_number"
2024,"384",1,1.501,"Enil",1,"pinta",1.7,10.657,2.2,"Enil",0.140846392042789,0.772727272727273,40.625,54.586,81.25,1
2024,"384",1,1.501,"Enil",1,"pinta",1.7,10.657,2.2,"Enil",0.140846392042789,0.772727272727273,40.625,54.586,81.25,1
2024,"384",2,10.013,"Enil",1,"pinta",2.2,10.657,2.2,"Enil",0.939570235525945,1,40.625,54.586,81.25,1
2024,"384",2,10.013,"Enil",1,"pinta",2.2,10.657,2.2,"Enil",0.939570235525945,1,40.625,54.586,81.25,1
2024,"384",2,10.013,"Enil",1,"pinta",2.2,10.657,2.2,"Enil",0.939570235525945,1,40.625,54.586,81.25,1
2024,"384",3,5.003,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.469456695129962,0.909090909090909,40.625,54.586,81.25,1
2024,"384",3,5.003,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.469456695129962,0.909090909090909,40.625,54.586,81.25,1
2024,"384",3,5.003,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.469456695129962,0.909090909090909,40.625,54.586,81.25,1
2024,"384",4,5.993,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.56235338275312,0.909090909090909,40.625,54.586,81.25,1
2024,"384",4,5.993,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.56235338275312,0.909090909090909,40.625,54.586,81.25,1
2024,"384",4,5.993,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.56235338275312,0.909090909090909,40.625,54.586,81.25,1
2024,"384",5,5.229,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.490663413718683,0.909090909090909,40.625,54.586,81.25,1
2024,"384",5,5.229,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.490663413718683,0.909090909090909,40.625,54.586,81.25,1
2024,"384",5,5.229,"Enil",1,"pinta",2,10.657,2.2,"Enil",0.490663413718683,0.909090909090909,40.625,54.586,81.25,1
2024,"312",1,8.108,"Enil",1,"pinta",1.6,10.597,2,"Enil",0.765122204397471,0.8,42.042,50.393,84.084,1
2024,"312",1,8.108,"Enil",1,"pinta",1.6,10.597,2,"Enil",0.765122204397471,0.8,42.042,50.393,84.084,1
2024,"312",1,8.108,"Enil",1,"pinta",1.6,10.597,2,"Enil",0.765122204397471,0.8,42.042,50.393,84.084,1
2024,"312",2,5.435,"Enil",1,"pinta",2,10.597,2,"Enil",0.512881004057752,1,42.042,50.393,84.084,1
2024,"312",2,5.435,"Enil",1,"pinta",2,10.597,2,"Enil",0.512881004057752,1,42.042,50.393,84.084,1
2024,"312",2,5.435,"Enil",1,"pinta",2,10.597,2,"Enil",0.512881004057752,1,42.042,50.393,84.084,1
2024,"304",1,8.681,"Enil",1,"pinta",2,9.654,2,"Enil",0.899212761549617,1,36.38,57.859,72.76,2
2024,"304",1,8.681,"Enil",1,"pinta",2,9.654,2,"Enil",0.899212761549617,1,36.38,57.859,72.76,2
2024,"304",1,8.681,"Enil",1,"pinta",2,9.654,2,"Enil",0.899212761549617,1,36.38,57.859,72.76,2
2024,"314",1,5.918,"Enil",1,"pinta",2,12.959,2,"Enil",0.456671039432055,1,48.58,65.034,97.16,1
2024,"314",1,5.918,"Enil",1,"pinta",2,12.959,2,"Enil",0.456671039432055,1,48.58,65.034,97.16,1
2024,"314",1,5.918,"Enil",1,"pinta",2,12.959,2,"Enil",0.456671039432055,1,48.58,65.034,97.16,1
2024,"314",2,4.891,"Enil",1,"pinta",2,12.959,2,"Enil",0.377421097306891,1,48.58,65.034,97.16,1
2024,"314",2,4.891,"Enil",1,"pinta",2,12.959,2,"Enil",0.377421097306891,1,48.58,65.034,97.16,1
2024,"314",2,4.891,"Enil",1,"pinta",2,12.959,2,"Enil",0.377421097306891,1,48.58,65.034,97.16,1
2024,"314",3,6.139,"Enil",1,"pinta",2,12.959,2,"Enil",0.473724824446331,1,48.58,65.034,97.16,1
2024,"314",3,6.139,"Enil",1,"pinta",2,12.959,2,"Enil",0.473724824446331,1,48.58,65.034,97.16,1
